,anime_id,genre
0,28891,"comedy, sports, drama, school, shounen"
1,23273,"drama, music, romance, school, shounen"
2,34599,"sci-fi, adventure, mystery, drama, fantasy"
3,5114,"action, military, adventure, comedy, drama, magic, fantasy, shounen"
4,31758,"action, mystery, supernatural, vampire"
5,37510,"action, slice of life, comedy, supernatural"
6,199,"adventure, supernatural, drama"
7,38000,"action, demons, historical, shounen, supernatural"
8,35247,"mystery, comedy, supernatural, vampire"
9,2904,"action, military, sci-fi, super power, drama, mecha"
10,32935,"comedy, sports, drama, school, shounen"
11,34096,"action, comedy, historical, parody, samurai, sci-fi, shounen"
12,15335,"action, sci-fi, comedy, historical, parody, samurai, shounen"
13,918,"action, comedy, historical, parody, samurai, sci-fi, shounen"
14,4181,"slice of life, comedy, supernatural, drama, romance"
15,15417,"action, comedy, historical, parody, samurai, sci-fi, shounen"
16,30276,"action, sci-fi, comedy, parody, super power, supernatural, seinen"
17,16664,"fantasy, historical"
18,4672,"action, sci-fi, police, psychological, mecha, seinen"
19,8038,"comedy, josei, music, romance"
20,7588,"mystery, historical, drama, samurai, seinen"
21,1253,"action, adventure, demons, fantasy, sci-fi, shounen, super power"
22,20767,"action, adventure, comedy, supernatural, shounen"
23,1425,"action, adventure, mystery, comedy, seinen"
24,35363,"slice of life, comedy, fantasy"
25,22673,"comedy, sports"
26,6862,"comedy, music, school, slice of life"
27,5680,"slice of life, comedy, music, school"
28,451,"action, adventure, comedy, historical, demons, supernatural, drama, magic, romance, fantasy, shounen"
29,9563,"slice of life, comedy, school, seinen"
30,30364,"comedy, sports, drama, school, shounen"
31,33280,"slice of life, comedy"
32,36369,"action, drama, military, sci-fi, space"
33,27633,"comedy, romance, school"
34,31637,"action, military, adventure, fantasy"
35,38145,"slice of life, comedy"
36,552,"action, adventure, comedy, fantasy, kids"
37,1689,"slice of life, drama, romance"
38,8609,"adventure, comedy, mystery, police, shounen"
39,34944,"action, comedy, mystery, super power, supernatural"
40,36214,"romance, school, shoujo ai"
41,32863,"action, comedy, school, shounen"
42,36160,"action, comedy, romance, fantasy"
43,33064,"action, drama, military, sci-fi, space"
44,2265,"action, mecha"
45,11001,"action, comedy, military, romance"
46,39940,"ecchi, school, shounen"
47,322,"comedy, drama, josei, romance, slice of life"
48,38958,comedy
49,4472,"comedy, parody, school, slice of life"
50,97,"action, sci-fi, adventure"
51,468,"military, sci-fi, police, psychological, mecha"
52,7645,"action, slice of life, fantasy, magic, comedy, school, shoujo"
53,3604,"slice of life, comedy, school, seinen"
54,1491,"sci-fi, adventure, space, drama"
55,19319,"action, sci-fi, mecha"
56,1571,"mystery, comedy, horror, supernatural, shoujo"
57,35222,"comedy, school, shoujo, slice of life"
58,38770,"action, mystery, comedy, police, drama, shounen"
59,269,"action, adventure, comedy, super power, supernatural, shounen"
60,30123,"fantasy, romance, drama, shoujo"
61,32998,"action, drama, historical"
62,202,"action, adventure, drama, fantasy, mystery, sci-fi"
63,5005,"comedy, parody, super power, seinen"
64,18397,"action, super power, drama, fantasy, shounen"
65,3750,"school, shoujo, shoujo ai, slice of life"
66,33263,"action, mystery, supernatural, drama"
67,32380,"magic, adventure, fantasy, comedy, supernatural"
68,35860,"romance, comedy, school, slice of life, shounen"
69,3092,"comedy, drama, romance, shounen ai"
70,38084,"action, fantasy, magic, supernatural"
71,37033,"slice of life, comedy"
72,28999,"drama, school, super power"
73,388,"cars, shounen, sports"
74,9724,"action, military, fantasy, mecha, shounen"
75,37985,"slice of life, comedy"
76,38435,"action, adventure, demons, fantasy, martial arts, romance"
77,20057,"sci-fi, space, comedy"
78,1172,"adventure, comedy, demons, magic, fantasy, shounen"
79,397,"action, military, romance, sci-fi, space"
80,2273,"action, space, mecha, military, drama, sci-fi"
81,4080,"adventure, comedy, demons, fantasy, shoujo"
82,11887,"slice of life, comedy, supernatural, drama, romance, school"
83,254,"comedy, slice of life"
84,11135,"drama, historical, romance, sci-fi, shounen ai"
85,13119,"action, historical, supernatural, drama, samurai, josei"
86,29755,"comedy, sports, drama, school, shounen"
87,267,"action, drama, sci-fi, seinen, super power"
88,4872,"comedy, parody, school, shounen"
89,3665,"drama, military, sci-fi, space"
90,37150,"action, adventure, fantasy, historical, martial arts, romance"
91,6768,"action, military, super power, mecha"
92,12403,"slice of life, comedy, school, shoujo ai"
93,39597,"action, game, adventure, romance, fantasy"
94,15771,"comedy, seinen, slice of life"
95,82,"military, sci-fi, space, drama, mecha"
96,34745,"adventure, fantasy, magic, comedy, shounen"
97,3782,"action, mystery, supernatural, romance, thriller"
98,253,"slice of life, comedy, school"
99,12413,"action, adventure, seinen"
100,5630,"action, sci-fi, mystery, drama, romance, thriller"
101,38816,sci-fi
102,29787,"slice of life, comedy"
103,2321,"action, sci-fi, super power, drama, mecha, shounen"
104,37822,"action, adventure, historical, supernatural, martial arts, fantasy"
105,4447,"adventure, police, comedy, mystery, shounen"
106,1505,"adventure, mystery, comedy, police, shounen"
107,1472,"action, comedy, mystery, shounen"
108,9465,"action, fantasy, mecha, military, shounen"
109,35507,"slice of life, psychological, drama, school"
110,38349,"slice of life, comedy, romance"
111,17949,music
112,12445,"horror, mystery, romance, school, shounen, supernatural"
113,1254,"adventure, fantasy, sci-fi, shounen"
